ano,codigo_programa,sigla_ies,nome_ies,nome_programa,grande_area,area_conhecimento,area_avaliacao,autor,titulo,nivel,palavras_chave,resumo
1993,33003017039P0,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,CIENCIAS SOCIAIS,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,JORGE RUBEM BITON TAPIA,"A TRAJETORIA DA POLITICA BRASILEIRA DE INFORMATICA: ATORES, INSTITUICOES E ESTRATEGIAS.",Doutorado,POLITICA DE INFORMATICA            TECNOLOGIA E POLITICAS PUBLICAS    NACIONALID,"ESTE TRABALHO PRETENDE EXAMINAR A TRAJETORIA DA POLITICA NACIONAL DE INFORMATICA ENTRE 1977 E 1991, PROCURANDO IDENTIFICAR OS LIMITES E OBSTACULOS DE NATUREZA POLITICA E INSTITUCIONAL QUE CONDICIONARAM A IMPLEM ENTACAO DO MODELO DE RESERVA DE MERCADO E ACABARAM CONDUZINDO A SUA EXTINCAO. A TESE ESTA ORGANIZADA A PARTIR DE TRES QUESTOES GERAIS: A) COMO A DINAMICA DAS ALIANCAS DE INTERESSES FOI CONDICIONANDO A TRAJETORI A DA POLITICA DE INFORMATICA EM SEUS FATORES QUE EXPLICAM O PROCESSO DE MUDANCA NAS COALIZOES DE INTERESSES A FAVOR E CONTRA A POLITICA DE INFORMATICA? C) COMO SE DA O JOGO DE INTERESSES E A NEGOCIACAO DAS MUDA CIADA A QUATRO FATORES: A REDEFINICAO DAS LEALDADES DE MERCADO, O ENCAPSULAMENTO DA POLITICA DE INFORMATICA CARENTE DE ARTICULACAO COM A ORIENTACAO GLOBAL DO ESTADO, A PERDA DE CONSISTENCIA INTERNA DA ALIANCA N ACIONALISTA E O FORTALECIMENTO DA COALIZAO ANTINACIONALISTA."
1993,33004030017P7,UNESP/ARAR,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/ARARAQUARA,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,PAULO FERNANDO DEL DUCA,O DESENVOLVIMENTO DO CAPITALISMO EM UMA CIDADE MEDIA DO INTERIOR DO ESTADO DE SAO PAULO - MATAO E O PROBLEMA DA HABITACAO POPULAR.,Mestrado,DESENVOLVIMENTO CAPITALISTA        HABITACAO POPULAR,"RESUME-SE EM ENCONTRAR OS NEXOS CIENTIFICOS EXISTENTES ENTRE UMA REALIDADE EMPIRICA CONSTATADA EM PESQUISA REALIZADA EM 1984 E O DESENVOLVIMENTO DA INDUSTRIA NA CIDADE DE MATAO, PRINCIPALMENTE A INDUSTRIA DE SU COS CITRICOS. A PESQUISA DE 1984 TRATAVA DE TRACAR UM PERFIL SOCIO-ECONOMICO DA POPULACAO PRETENDENTE A CASA PROPRIA ATRAVES DA PREFEITURA, E ASSIM CONHECER TAL POPULACAO. A PARTIR DESSA PESQUISA CHEGAMOS A CON CLUSAO QUE A ESTRUTURA HABITACIONAL DE MATAO ESTAVA ""ESTRANGULADA"". O  OBJETIVO FOI PROCURAR VINCULAR TAL SITUACAO CAOTICA DA CIDADE EM TERMOS HABITACIONAIS AO DESENVOLVIMENTO INDUSTRIAL. PARA ISSO RECONSTRUI-S LO QUE SE CONCEITUA COMO CAI-COMPLEXO AGROINDUSTRIAL. A CONCLUSAO A QUE SE CHEGA FOI QUE TAL INDUSTRIA DA AGRICULTURA E PARA A AGRICULTURA ACABA CRIANDO UM FLUXO MIGRATORIO DE MAO DE OBRA E QUE A ESTRUTURA HABI TACIONAL DE MATAO NAO FOI CAPAZ DE ABSORVER."
1993,41001010018P6,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,SOCIOLOGIA POLÍTICA,CIÊNCIAS HUMANAS,OUTRAS SOCIOLOGIAS ESPECÍFICAS,SOCIOLOGIA,LILIANE MOSER,COMO O MANGUE VIROU CIDADE: UM ESTUDO SOBRE CONDICOES DE VIDA E ORGANIZACAO INSTITUCIONAL DO ESPACO URBANO NAS AREAS DE MANGUE EM JOINVILLE/SC,Mestrado,URBANIZACAO                        POLITICA SOCIAL                    MIGRACAO,"ESTE TRABALHO TRATA DO PROCESSO DE URBANIZACAO DE AREAS DE MANGUE EM JOINVILLE/SC, PRIVILEGIANDO A DISCUSSAO DAS CONDICOES DE VIDA DOS MORADORES DA VILA PARANAENSE, NO BAIRRO ESPINHEIROS, NESTA CIDADE. NA PERSP ECTIVA DE ENTENDER A OCUPACAO DOS MANGUES, PROCURO RESGATAR O PROCESSO DE INDUSTRIALIZACAO EM JOINVILLE E PERCEBER SUAS IMPLICACOES NO CRESCIMENTO POPULACIONAL, BEM COMO, NA URBANIZACAO DA CIDADE. URBANIZACAO E STA, CARACTERIZADA PELA EXPANSAO DA PERIFERIA E A CRIACAO DE AREAS SEGREGADAS. E NESTE CONTEXTO QUE OS MANGUEZAIS SURGEM COMO ""OPCAO"" DE MORADIA PARA INUMERAS FAMILIAS DE TRABALHADORES, GERALMENTE MIGRANTES, QU GUE, EXECUTADO PELA PREFEITURA DE JOINVILLE. AS IMPLICACOES DESTE PROGRAMA NO ESPACO DOS MANGUEZAIS  TAMBEM SERA TEMA DE ANALISE NESTE TRABALHO."
1993,42001013012P7,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,SINARA PORTO FAJARDO,ESPIONAGEM POLITICA: INSTITUICOES E PROCESSOS NO RIO GRANDE DO SUL,Mestrado,ESPIONAGEM POLITICA,"TRATA-SE DE UM ESTUDO EXPLORATORIO SOBRE O PROCESSO DE ESPIONAGEM POLITICA CONTEXTUALIZADA HISTORICAMENTE NO RIO GRANDE DO SUL DO CHAMADO PERIODO DE CONSOLIDACAO DEMOCRATICA BRASILEIRA. ABORDA A ESPIONAGEM POLI TICA COMO UM PROCESSO QUE ENVOLVE RELA‡OES DE PODER E QUE EXPRESSA UMAPOLITICA ESPECIFICA DE SEGURANCA PUBLICA APOIADA IDEOLOGICAMENTE NUMA DOUTRINA ORIUNDA DA DSN E D, CONTEXTUALIZADA DE ACORDO COM O MOMENTO H ISTORICO, POLITICO E ECONOMICO ATUAL. DESCREVE O PROCESSO DE RESISTENCIA DENTRO DESTA RELACAO DE PODER. CONCLUI PELA ORGANICIDADE DO PROCESSO DE ESPIONAGEM POLITICA ATUAL EXEMPLIFICANDO ATRAVES DO SISTEMA DE IN"
1993,31004016007P1,UERJ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,ESTUDOS DE PROBLEMAS BRASILEIROS,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,WILLIAM RAMOS TEIXEIRA,CONTRIBUICAO DE LINDOLFO COLLOR NO PENSAMENTO POLITICO BRASILEIRO.,Mestrado,POLITICA BRASILEIRA - EDUCACAO     POLITICA SOCIAL - LEG TRABALHISTA  SISTEMA DE,"BREVE RELATORIO HISTORICO DO BRASIL NO PERIODO DE 1889 A 1945 VIDA E OBRA DE LINDOLFO LEOPOLDO BOECKEL COLLOR - LEGISLACAO TRABALHISTA HISTORICA.  CASO MINISTERIO DO TRABALHO CRIACAO E ASPECTOS GERAIS A REVOLUC AO DE TRINTA E CONTRIBUICAO DE LINDOLFO COLLOR NO PENSAMENTO POLITICO BRASILEIRO SISTEMA DE GOVERNO LEGISLACAO TRABALHISTA DA ERA VARGAS A NACIONALIZACAO DO TRABALHO DESEMPREGO PROVIDENCIA SOCIAL, E ASPECTOS GE RAIS DOS SINDICATOS BASEADOS NESTES TOPICOS TENDO COMO SUPORTE BASICO A PESQUISA METODICA E SISTEMATICA E QUE CONCLUIMOS COMO SE DEU A CONTRIBUICAO DE LINDOLFO COLLOR AO PENSAMENTO POLITICO BRASILEIRO."
1993,33002010028P1,USP,UNIVERSIDADE DE SÃO PAULO,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,RUTH BERNARDES DE SANT'ANA,PROFESSORES DE 1. E 2. GRAUS: REPRESENTACAO SOCIAL E MOBILIZACAO COLETIVA,Mestrado,MOVIMENTOS SOCIAIS                 SINDICALISMO DE CLASSE MEDIA       PROFESSORA,"O TEXTO DISCORRE SOBRE A REPRESENTACAO SOCIAL DA CATEGORIA DE PROFESSORES E SEUS DESDOBRAMENTOS NOS PROCESSOS DE MOBILIZACAO COLETIVA OCORRIDAS ENTRE 1958 E 1985. CLASSE E GENERO SAO INSTRUMENTOS DE ANALISE UTI LIZADOS PARA A COMPREENSAO DA DINAMICA DOS MOVIMENTOS REINVIDICATORIOS, BEM COMO DAS ENTIDADES ASSOCIATIVAS REPRESENTATIVAS DO PROFESSORADO DE 1. E 2. GRAUS DO ESTADO DE SAO PAULO. PROCURANDO DESTACAR O PAPEL D ESEMPENHADO PELO MOVIMENTO DE PROFESSORES EM MOMENTOS SIGNIFICATIVOS DA NOSSA HISTORIA: EM INICIO DA DECADA DE 60, PARTICIPANDO DAS MOBILIZACOES PROPRIAS AO PERIODO ANTERIOR AO GOLPE MILITAR, EM FINS DA DECADA ICATORIO - NO SENTIDO DE RESISTIR AO AUTORITARISMO E AS PERDAS SALARIAIS."
1993,33002010134P6,USP,UNIVERSIDADE DE SÃO PAULO,INTEGRAÇÃO DA AMÉRICA LATINA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,ENRIQUE VIANA ARCE,CONTRIBUICAO PARA O ESTUDO DO DESENVOLVIMENTO DOS PROGRAMAS NUCLEARES DO BRASIL E DA ARGENTINA DURANTE OS GOVERNOS MILITARES DE 1966 A 1974,Mestrado,DESENVOLVIMENTO NUCLEAR            BRASIL                             ARGENTINA,"OBJETO DE ESTUDO LIMITA-SE A EXAMINAR AS ATITUDES DE SETORES DOS GOVERNOS MILITARES DO BRASIL E DA ARGENTINA NO SENTIDO DE EMPREENDER PROJETOS E PROGRAMAS NUCLEARES, ALMEJANDO TRANSFORMAR SEUS PAISES A CATEGORI A DE GRANDE POTENCIA, A PARTIR DA OBTENCAO DO ARTEFACTO NUCLEAR PARA FINS CIVIS E MILITARES. A DISSERTACAO PARTE DA ABORDAGEM TEORICA QUE FOCALIZA O FENOMENO ESTATAL COMO ELEMENTO CENTRAL DAS RELACOES INTERNACI ONAIS NA POLITICA DE PODER. NESTE QUADRO, AS FORCAS ARMADAS DA ARGENTINA E DO BRASIL CONSTITUEM NOS FATOR  MAIS IMPORTANTE DO PODER POLITICO DE UMA NACAO. REALCA AINDA QUE, ESTANDO TANTO O BRASIL COMO A ARGENTI IA MUNDIAL DE GRANDE ENVERGADURA REGIONAL E MUNDIAL. EM SUMA, A DISSERTACAO PROCURA DESENVOLVER A IMPORTANCIA DA EVOLUCAO DOS PROGRAMAS NUCLEARES ARGENTINO E BRASILEIRO NA DEFINICAO DA ESTRATEGIA DE DESENVOLVIM ENTO COM SEGURANCA NACIONAL. ESTRATEGIA ESTA DE ESTADO FORTE, BASEADO NA LEI E NA ORDEM, DOMINADO PELOS MILITARES, QUE PERCEBIAM NA ENERGIA NUCLEAR, UMA FONTE INESGOTAVEL DE VANTAGENS PARA LANCAR OS SEUS PAISES , NA CATEGORIA DE GRANDE POTENCIA."
1993,25001019012P9,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,CLEIDE DE FATIMA GALIZA,CUMPLICES NA SOBREVIVENCIA-ONGS POPULARES E INFANCIA DESASSISTIDA,Mestrado,ONGS                               SOCIOLOGIA DA EDUCACAO,"O ESTUDO ANALISA O PAPEL DAS ONGS POPULARES NO ATENDIMENTO DE JOVENS SOCIALMENTE DESASSISTIDOS, CONSIDERANDO O TIPO DE TRABALHO-PREVENTIVO E CONSCIENTIZADOR-PROPOSTO POR ESTAS ENTIDADES. A INTENSIFICACAO DE PRO GRAMAS DIRECIONADOS AO SEGMENTO INFANTO-JUVENIL OCORREU NA DECADA DE 80,IMPULSIONADOS POR MOVIMENTOS SOCIAIS QUE ECLODIRAM EM TODO O PAIS CONSUBSTANCIADOS,POSTERIORMENTE,NO MOVIMENTO NACIONAL DE MENINOS DE RUA.  NO BOJO DESSES MOVIMENTOS SURGIRAM INUMERAS ORGANIZACOES QUE PASSAM A NORATEAR SUAS ACOES SOB A PERSPECTIVA DA TRANSFORMACAO SOCIAL,UTILIZANDO METODOLOGIAS ALTERNATIVAS A POLITICA OFICIAL E AS FORMAS DE ATENDI ,ETC. AS OUTRAS PRIVILEGIAM A EDUCACAO PELO TRABALHO,ATRAVES DE CURSOS PROFISSIONALIZANTES COM GERACAO DE RENDA. EM QUE PESE AS DIFICULDADES DE ORDEM DIVERSA,OS REFLEXOS DAS ACOES DESENVOLVIDAS POR ESTAS ENTIDA DES,SOBRE OS BENEFICIARIOS, PODEM SER DEMONSTRADAS NUMA ESCALA DECRESCENTE,PARTINDO-SE DE ACOES MAIS EFETIVAS,PARA EFEITOS MENOS ABRANGENTES."
1993,31004016007P1,UERJ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,ESTUDOS DE PROBLEMAS BRASILEIROS,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,RITA DE CASSIA ANDRADE,"""IDEOLOGIA E EDUCACAO NO BRASIL""",Mestrado,SISTEMA EDUCACIONAL - IDEOLOGIA    EDUCACAO SUPERIOR                  EDUCACAO N,"ANALISAREMOS O SISTEMA EDUCACIONAL NO BRASIL COLONIA, NO IMPERIO E NA REPUBLICA QUANDO SE VERIFICA O ESTABELECIMENTO E A FIXACAO DA ESTRUTURA POLITICO-ECONOMICA E SOCIAL DO BRASIL OCORRE A ORGANIZACAO E O DESEN VOLVIMENTO DO APARELHO EDUCACIONAL REPRODUTOR DAS CONDICOES IDEOLOGICAS NECESSARIAS A SEDIMENTACAO DO PODER METROPOLITANO.  QUALIDADE DE ENSINO: A EDUCACAO DE CURSO SUPERIOR DESTINADA AOS JOVENS DA CLASSE DOMIN ANTE E A NECESSIDADE DE UMA EDUCACAO PUBLICA E HONESTA.  O APARELHO EDUCACIONAL REPUBLICANO POSITIVISTA PERMANECEU SEM MAIORES ALTERACOES SIGNIFICATIVAS. REPETE-SE AQUI O DISCURSO DENUNCIANDO A MISERIA QUE VEM  DA TENDENCIA HUMANISTA TRADICIONAL.  E VEMOS HOJE A NECESSIDADE DE TER UMA EDUCACAO VOLTADA PARA A FORMACAO DA CIDADANIA.  SOMOS FRUTO DE UMA EDUCACAO IMPORTADA ACRITICAMENTE PARA MOLDAR O PAIS AO DESEMPENHO D E SEU PAPEL DE PAIS DEPENDENTE.  NOSSA FORMACAO E TODA VOLTADA PARA OS MODELOS ESTRANGEIROS.  CABE A EDUCACAO BRASILEIRA ENCONTRAR CAMINHOS DENTRO DA SUA REALIDADE."
1993,33002010028P1,USP,UNIVERSIDADE DE SÃO PAULO,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,CECILIA HELENA ORNELLAS RENNER,O ROUXINOL E O PASSARO MECANICO - ANALISE DOS ACORDOS COLETIVOS DOS TRABALHADORES METALURGICOS - 1978-1988,Doutorado,SINDICATO                          ACORDO COLETIVO DE TRABALHO        TRABALHADO,"ESTE ESTUDO VISOU RELACIONAR AS CONQUISTAS SOBRE CONDICOES DE TRABALHO DO CHAMADO ""SINDICALISMO OFICIAL"" E DO ""SINDICALISMO AUTENTICO"", NO AMBITO DA CATEGORIA PROFISSIONAL METALURGICA, DURANTE O PERIODO DE 1978  A 1988. REFERE-SE PARTICULARMENTE, AS CONDICOES QUE SE ENCONTRAM FORMALIZADAS NOS ACORDOS COLETIVOS DE TRABALHO E QUE CONSTITUEM OS RESULTADOS DAS NEGOCIACOES COELTIVAS DESENVOLVIDAS, ANUALMENTE, PELOS SINDICA TOS DE TRABALHADORES COM O PATRONATO. DO TOTAL DE NOVE SINDICATOS DE TRABALHADORES METALURGICOS QUE COMPOEM O SUPORTE EMPIRICO DESTA PESQUISA O SINDICATO DOS TRABALHADORES METALURGICOS DE SAO PAULO E O DE SAO B CAS SEGUIDAS PELOS SINDICATOS. ENFOCA-SE: OS ACORDOS SALARIAIS, A REDUCAO DA JORNADA, OS DIREITOS SINDICAIS, ETC."
