CD_PROGRAMA,UF,CONCEITO
10001018041P7,RO,3
10001018009P6,RO,4
10001018016P2,RO,4
10001018039P2,RO,4
10001018017P9,RO,3
10001018006P7,RO,3
10001018012P7,RO,4
10001018042P3,RO,3
10001018045P2,RO,A
10001018043P0,RO,3
10001018040P0,RO,3
10001018004P4,RO,4
10001018010P4,RO,4
10001018044P6,RO,3
10001018005P0,RO,4
10001018011P0,RO,4
11001011007P6,AC,4
11001011074P5,AC,3
11001011009P9,AC,4
11001011072P2,AC,3
11001011003P0,AC,5
11001011076P8,AC,3
11001011073P9,AC,3
11001011070P0,AC,3
11001011071P6,AC,3
11001011001P8,AC,3
11001011004P7,AC,4
11001011075P1,AC,3
11001011005P3,AC,4
11001011008P2,AC,4
11001011006P0,AC,4
10001018002P1,RO,4
12001015039P8,AM,3
12001015023P4,AM,4
12001015002P7,AM,4
12001015172P0,AM,4
12001015175P9,AM,A
12001015063P6,AM,4
12001015171P3,AM,4
12001015025P7,AM,4
12001015035P2,AM,4
12001015033P0,AM,3
12001015016P8,AM,4
12001015026P3,AM,4
12001015001P0,AM,3
12001015037P5,AM,3
12001015007P9,AM,4
12001015015P1,AM,4
12001015013P9,AM,4
12001015027P0,AM,4
12001015040P6,AM,4
12001015021P1,AM,4
12001015034P6,AM,4
12001015064P2,AM,3
12001015173P6,AM,3
12001015065P9,AM,3
12001015041P2,AM,3
12001015008P5,AM,3
12001015042P9,AM,3
12001015003P3,AM,4
12001015174P2,AM,3
12001015006P2,AM,4
12001015036P9,AM,4
12001015012P2,AM,6
12001015029P2,AM,4
12001015014P5,AM,4
12001015009P1,AM,3
12002011012P9,AM,3
12002011011P2,AM,4
12002011002P3,AM,4
12002011009P8,AM,5
12002011001P7,AM,5
12002011006P9,AM,5
12002011004P6,AM,5
12002011003P0,AM,7
12002011010P6,AM,4
12003018001P3,AM,4
12006017003P5,AM,4
12008010073P0,AM,3
12008010074P6,AM,A
12008010002P5,AM,4
12008010008P3,AM,3
12008010007P7,AM,3
12008010003P1,AM,3
12008010072P3,AM,3
12008010071P7,AM,3
12008010039P6,AM,4
12008010005P4,AM,5
12008010070P0,AM,4
12008010001P9,AM,5
13001019001P3,RR,4
13001019008P8,RR,3
13001019039P0,RR,3
13001019042P1,RR,A
13001019041P5,RR,3
13001019040P9,RR,3
13001019005P9,RR,4
13001019004P2,RR,4
13001019007P1,RR,4
13001019006P5,RR,4
13003011001P6,RR,5
13003011004P5,RR,3
13003011003P9,RR,3
13003011002P2,RR,3
13007009001P6,AM,A
13009001042P7,AM,4
13009001041P0,AM,4
13009001040P4,AM,3
13012002001P6,AM,3
14001012001P6,AP,3
14001012156P0,AP,4
14001012005P1,AP,3
14001012161P3,AP,3
14001012003P9,AP,5
14001012160P7,AP,3
14001012159P9,AP,3
14001012158P2,AP,3
14001012157P6,AP,4
14001012004P5,AP,3
15001016061P1,PA,4
15001016049P1,PA,4
15001016010P8,PA,4
15001016156P2,PA,4
15001016167P4,PA,3
15001016165P1,PA,3
15001016088P7,PA,3
15001016038P0,PA,5
15001016066P3,PA,3
15001016017P2,PA,7
15001016161P6,PA,3
15001016079P8,PA,3
15001016050P0,PA,5
15001016057P4,PA,4
15001016080P6,PA,3
15001016091P8,PA,3
15001016041P0,PA,4
15001016159P1,PA,4
15001016089P3,PA,4
15001016077P5,PA,3
15001016063P4,PA,5
15001016086P4,PA,3
15001016018P9,PA,4
15001016037P3,PA,6
15001016064P0,PA,3
15001016004P8,PA,5
15001016035P0,PA,5
15001016082P9,PA,3
15001016158P5,PA,4
15001016076P9,PA,4
15001016028P4,PA,4
