ano,UF,nome_programa,titulo,resumo,autor
1996,BA,SOCIOLOGIA,Arranjos Familiares e Desigualdades Raciais Entre Trabalhadores em Salvador e Região Metropolitana - Bahia.,Este estudo buscar perceber a existência de distinções entre os arranjos familiares de que lançam mão os trabalhadores para fazer face às suas necessidades de sobrevivência e em que medida estas diferenciações estão influenciadas pelas desigualdades raciais que se processam na Região Metropolitana de Salvador entre 1987 e 1989.,MARTHA MARIA RAMOS ROCHA DOS SANTOS
1997,SP,SOCIOLOGIA,"O batismo da instituição: atraso, educação e modernidade em Manuel Bonfim","A dissertação objetiva expor a matéria da reflexão de Manuel Bonfim e definir uma de duas linhas fundamentais de desenvolvimento. Na pesquisa do conjunto da obra propcuramos explicar os elementos que confirmaram a construção de sua problemática, isto é, as forams pelas quai Bonfim selecionou, formulou e resolveu aquilo que tomou como 'seu problema"". Apresentamos nesse sentido, a problemática da ""educação como redenção nacional"" em torno da qual se organizam a reflexão, a obra e a própria atuação político intelectual de Manuel Bonfim no contexto social da Primeira República. Analisando uma das obras de literatura escolar do autor, através do Brasil, como um outro ãngulo de acesso à sua reflexão, procuramos demonstrar como esta problemática ganhacontorno pragmáticos confirmando uma determinada idéia de ""ação educativa"" através da qual Bonfim procurava refundar a sociedade brasileira. esta ênfase na educação, teria permitido ao autor afastar-se do paradigma biológico dominante da época para realizar uma  reflexão de caráter histórico-cultural relativamente pioneira sobre as possibilidades de remissão do ""atraso  brasileiro"" e assim  da própria insersão do país no processo da ""modernidade"" burguesa através da educação. Essa mesma idéia, contudo, tomando como premissa que os sistemas educacionais moldavam as sociedades, acabava por circunscrever a reflexão de Manuel Bonfim a um âmbito ético de avaliação da formação da sociedade brasileira.",André Botelho
1998,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Educação, gênero e cor: práticas sociais e representações na juventude.","A presente dissertação mostra a relação entre educação, gênero e cor, tendo como campo empírico o PEJ-CSW (Projeto de educação juvenil CIEP Samuel Wainer). Este projeto tem como objetivo fornecer uma educação alternativa voltada principalmente para a alfabetização- para jovens de 14 a 22 anos, que estão evadidas do ensino formal. Qual a relação entre o fracasso ou o sucesso escolar e a questão do gênero e da cor?..PAra a concretização deste objetivo, foi feito trabalho de campo no próprio PEJ-CSW com observação participante, entrevistas com alguns professores e estudantes, além da análise de textos de autores reconhecidos da temática sociológica.",Ana Lucia Guimarães
1999,SP,SOCIOLOGIA,"""O Estatal, o público e o privado em educação: tensões e ambigüidades""","Esta tese procura examinar a propriedade de se considerar estatal e público como sinônimos e estatal e privado como antônimos na educação brasileira. Inicialmente, faz considerações teóricas e históricas sobre os conceitos de público e privado no história ocidental e também sobre as particularidades do público e do privado no Brasil, argumentando ser um equívovo pensar que o estado nas sociedades desiguais possa representar o interesse comum, de todos, como supõe o liberalismo. O Estado em sociedades bascadas na exploração do homem pelo homem tende a refletir os interes das classes ou camadas ou grupos dominantes, ainda que possa, em função da correlação de forças das diversas classes e frações de classes, atender em parte a interesses das classes e grupos dominados. Sustenta, por isso, que a esfera estatal tende a ser estruturalmente privatista, no sentido de que os interesses gerais ou públicos que aparente representar reflete não os interesses e visões da comunidade como um todo, mas apenas das classes ou grupos que detêm os meios de produção e circulação da riqueza social ou que dela se apropriam mediante o monopólio dos meios de decisão e informação (a burocracia estatal). No caso doBrasil, o caráter privatista da esfera estatal adquire uma particularidade agravante que imprime um traço privatista adicional - a tradição patrimonialista - que leva os governantes ou detentores de cargos públicos a considerarem a coisa pública como propriedade pessoal, como patrimônio privado...Em seguida, a tese examina alguns aspectos do privatismo na educação estatal brasileira. Faz um breve retrospecto histórico da legislação educacional, que permitiu e ainda permite a destinação legal de recursos públicos para as escolas privadas, que também gozaram e ainda gozam de isenções fiscais e privilégios a que outras empresas não tem direito. Mostra ainda que o privatismo dentro da esfera estatal se manifesta pela não-aplicação, pelos governos, dos recursos minimos previstos constitucionalmente em educação. Esta ilegalidade oficial é constatada na análise dos gastos contábeis em educação de duas prefeituras fluminenses entre 1989 e 1995 (Niterói) e 1990 e 1995 (São Gonçalo), que deixaram de aplicar quase R$150 milhões no período. Também foi constatada ilegalidade no orçamento da educação do governo estadual do Rio de Janeiro para 1997, que previa cerca de R$600 milhões do devido. Além disso, feram analisados orçamentos da educação de 17 prefeituras fluminenses para 1998, das quais 15 não previam a aplicação do montante correspondente ao percentual mínimo. As conseqüências da Não-aplicação dos recursos devidos se manifestam na dimensão da rede privada no Estado do Rio de Janeiro, que, em termos percentuais, é, disparadamente, a maior do Brasil. Assim, a omissão dos governos tem como resultado a maior presença da rede privada, o que sugere um conluio entre autoridades estatais e empresários privados...Procura a tese embém verificar se propostas recentes de política educacional contribuem para tornar a escola estatal mais pública, mais democrática, mais acessível a todos. Na análise da proposta de qualidade da educação do governo estadual do Rio de Janeiro divuldaga em 1995, aponta-se o risco de a qualidade, descentralização, autonomia e gestão nela presentes conduzirem a omissão do Estado na oferta de condições adequadas para o trabalho escolar e, por conseguinte, forçarem a maior  ""participação""da comunidade na gestão da escola para suprir as lacunas decorrentes dessa omissão. O ítem seguinte aprofunda a discussão sobre a relação entre descentralização, apontando os equívocos presentes em propostas tanto governamentais quanto de alguns setores progressistas. Em seguida, examina-se o Plano Nacional do MEC para os próximos 10 anos, que sinaliza favoravelmente à iniciativa privada ao desresponsabilizar o Estado pela oferta de educação com o discurso de que a educação é responsabilidade de todos e ao não prever aumento de recursos para atender às metas propostas no plano, pressupondo que elas serão cumpridas mediante a racionalização dos gastos. O capítulo conclui com um exame das características e possíveis implicações do Fundef (Fundo de manutenção e Desenvolvimento doensino Fundamental e de Valorização do Magistério), iniciativa do governo federal,que, embora apresentado como meio de valorizar o ensino fundamental e o magistério, não traz recursos para osistema educacional como um todo e pode levar os governos estaduais e municipais a abandonarem os níveis e modalidades de ensino (educação infantil, ensino médio, ensino superior) que não trazem recursos do Fundef, favorecendo, assim, a expansão do mercado para escolas particulares..Finalmente, faz-se um levantamento das discussões travadas sobre o sentido do estatal, do público e do privado em educação nos últimos 20 anos, buscando-se mapear as propostas, lacunas, insuficiênciais e contradições nessas dicsussões, com o objetivo de construir um conceito de educação pública que, embora financiada integralmente pelo Estado, possua características como a garantia de acesso e permanência a todos, a participação de todos os interesados, desde a comunidade escolar até sindicatos, associações de moradores e demais entidades da sociedade, na formulação, implementação e avaliação da política educacional, a transparência na gestão da educação, e, sobretudo, uma nova função social, não voltada para o mercado nem excludente das classes trabalhadoras/populares pelos seus currículos, metodologia, avaliação, mas para a construção de um novo homem e uma nova sociedade, sem desgualdades, que estão na origem das esferas estatal e privada, que só se desenvolveram com o fim das desigualdades.",Nicholas Davies
2000,SP,SOCIOLOGIA,"""Terapias, Terapeutas e Educação em Saúde na Pós-Madernidade""","Na pós-modernidade ocorre um sincretismo de práticas sociais que vão sendo moldadas no processo de construção societária. Desencantado face a crise, a ""agonia planetária, o homem busca no interior de si, de sua cultura e num mergulho nas sabedoria das tradições culturais, a chave para sua metamorfose e novas mudanças sociais para um ideologia da ação"", de acordo coma visão de Edgar Morin, guiado pelo pensamento mítico-simbólico. Compreender este movimento no contexto da Nova Era, no seu setor mais significativo holístico de saúde, estudar os atores emergentes, os terapeutas modernos e suas práticas de terapias holísticas no quadro de referência teórico da teoria da complexidade e abordagem holística for o principal objetivo deste trabalho. A Sociologia do cotidiano guiou um trabalho de campo detalhado e artesanal utilizando pesquisa ação, observação-participante e histórias de vida simplificadas para estudos de casos de práticas de saúde e de seus condutores no Nordeste do Brasil. O objetivo final deste trabalho é mostrar como práticas de saúde holísticas podem se tornar um caminho completamente ao sistema oficial de saúde, para o reencantamento dos educadores em Saúde.",Nisia Brasileira Augusto de Paula e Souza
2000,SP,SOCIOLOGIA,Caminhos e descaminhos da socialização política na pastoral da juventude: o caso de Londrina,"Analisar o processo de socialização juvenil no interior da Pastoral da Juventude (PJ) de Londrina é o objetivo deste estudo. Trata-se de entender com a PJ tem contribuído para a politização da juventude nestas quase duas décadas de sua existência, tendo em vista a dialética e a historicidade dos processos socializadores. A abordagem compreende uma retomada histórica dos trabalhos desenvolvidos com jovens pela Igreja Católica, particularmente após os anos 50, até chegar a organização e  à articulação da PJ nos fins dos anos 70, enfatizando sobretudo a sua história em Londrina. Esse percurso foi necessário, pois ajudou a delinear o perfil político educativo desta pastoral, que foi se construindo nos anos 80 e 90, embalada primeiro pelo enfoque da Teologia da Libertação e depois pela cidadania, revelando práticas educativas diferenciadas quanto ao resultado, devido ao próprio desenvolvimento da história. Assim por meio de uma análise qualitativa de fontes documentais e orais, procurou-se reconstruir a história da PJ em Londrina, bem como revelar a politização juvenil no interior da instituição eclesiástica: seus caminhos e descaminhos como contribuição no processo de conservação/mudança  colocados pela realidade social.",Suely Aparecida Martins
2000,SC,SOCIOLOGIA POLÍTICA,Uma Universidade Crítica ou Funcional. As Propostas e a Política Atual para a Universidade Brasileira,"A Universidade tem sido há oito séculos uma instituição na qual uma noção de autonomia e a produção e difusão de um saber se encontram inextricalvemente indissociáveis dela. No entanto esta autonomia e as condições específicas desta instituição para construção de um saber crítico sempre se viram diante de obstáculos e ameaças, sejam vindas da Comuna, do Estado, da Igreja ou de outros poderes instituídos que em geral a pressionam de modo a torná-la funcional à ordem na qual eles se insere e mantém. No atual cenário da economia mundializada o Banca Mundial tem sido a instituição que direciona uma política que procura modelar as universidades públicas como empresas privadas, funcionalizando-as, ampliando o espaço de um saber-fazer (instrumental) e diminuindo o espaço para um saber crítico, utilizando-se para tanto de mecanismos não repressivos. Política esta que possui sua base teórica na economia neoclássica e que encontra homologia na política e na legislação recente do governo federal para o ensino superior (ambas analisadas). Se analisadas as propostas, posições e projetos para universidade brasileira vindos do movimento estudantil, do sindicato dos docentes, do sindicato dos funcionários técnico-administrativos e das mantenedoras de universidades privadas observa-se que, de forma geral, embora haja uma vontade de se contrapor às propostas do Banco Mundial e da política do governo federal, não há uma coerência interna das propostas em favor de uma universidade essencialmente crítica e não funcional.....--------------------------------------------------------------------------------",Leo Vinicius Maia Liberato
2000,RJ,SOCIOLOGIA E ANTROPOLOGIA,Do assimilacionismo ao multiculturalismo: educação e representações sobre a diversidade cultural em Moçambique.,"Esta tese procura abordar alguns dilemas produzidos pela relação entre políticas de educação e representações sobre diversidade cultural em Moçambique, tanto no período colonial quanto no pós-colonial. Dita abordagem parte da suposição de que o locus dessa relação opera como uma rede complexa e interconectada de atores e idéias que transcendem os próprios limites geográficos de Moçambique. Uma das formas que assumem esses dilemas é a tensão entre assimilacionismo e multiculturalismo. Tentaremos mostrar que o uso dessas duas noções se justifica, na verdade, sob a condição de que sejam parte de um discurso nativo, quer dizer, componentes intrínsecos das formulações de um conjunto de agentes sociais: administradores coloniais, missionários, educadores, etnógrafos,etc. Procuramos analisar a forma como esses agentes pensaram e pensam o mundo sociocultural Moçambicano e sobre como, simultaneamente, procuraram intervir na vida dos grupos que compõem esse mundo: seja através de missões civilizadoras e assimilacionistas, seja através da aplicação de determinadas políticas educativas.",Lorenzo Gustavo Macagno
2001,RJ,SOCIOLOGIA E ANTROPOLOGIA,A pobreza na visão das elites.,"Esta dissertação analisa a visão de setores da elite brasileira sobre pobreza e desigualdade no Brasil, a partir de artigos de jornais publicados entre os anos de 1992 e 1997. As elites são consideradas nesse trabalho como grupo social indispensável para a compreensão da situação de desigualdade e pobreza no Brasil, uma vez que são responsáveis pela formulação, transformação ou manutenção de políticas sociais para a sociedade. Neste sentido, a perpetuação de pobreza e desigualdade, poder ser compreendida a partir da análise das decisões das elites na sociedade.  Defendo a idéia que uma das possíveis explicações para a manutenção da pobreza e da desigualdade no Brasil decorre do fato que nossas elites, embora se mostrem sensíveis aos problemas sociais, não se percebem como responsáveis pela solução dessas questões, diferenciando-se, dessa forma, das elites estudadas por Abram De Swaan na Europa e Estados Unidos.",Carolina Botelho Marinho da Cunha Giglio
2001,RJ,SOCIOLOGIA E ANTROPOLOGIA,Sociologia da Sociologia da Educação: caminhos e desafios de uma policy sciences no Brasil (1920-1979),"A proposta da dissertação e fazer uma ""sociologia da sociologia da educação no Brasil"""" , tendo como fio condutor o desenvolvimento histórico, teórico e institucional dessa disciplina entre 1920 e 1979, ressaltando as relações entre esse processo, o contexto político de construção da nação e a definicao do papel das ciências sociais no pais, principalmente sua vinculação (ou rejeição) a elaboracao de politicas publicas.",GRAZIELLA MORAES DIAS DA SILVA
2001,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Querendo modificar "" destinos"" sociais: experiências e  projetos de trabalhadores cariocas e a formação universitária.","Esta pesquisa analisa 10 historias de vida de trabalhadores adultos que tiveram acesso a educação  superior, nos anos 90, e que são egressos dos cursos de pré-vestibular do SINTUFRJ, do CEASM e do IPDH. Resgata as conexões entre imagens e pressões do mundo do trabalho do Rio de Janeiro e a produção de interesses e motivações de trabalhadores por educação superior...Os trabalhadores desenvolvem imagens, ambições e projetos pessoais e culturais para dialogar  com as pressões da cultura do trabalho. Recebem pressões das situações sociais do mundo do trabalho contemporâneo. Essas situações, como a flexibilização das relações de trabalho e os riscos sociais de transitar da formalidade para a informalidade. Produzem conflitos e renovações pessoais e sociais para que os sujeitos reconstruam seus interesses e motivações. Os trabalhadores também tem capacidade reflexiva para construir seus projetos de vida. O retorno aos estudos expressa  a interação dessas pressões com a capacidade reflexiva dos trabalhadores estudantes para que redefinam identidades e lutas por um novo lugar social...Para os trabalhadores estudantes, a busca do diploma universitário e a tentativa de começar a construir uma nova trajetória ocupacional e social. Consideram a educação superior como uma moeda cultural capaz de promover possibilidades de ruptura estrutural dos seus destinos de classe e das possibilidades herdadas da família de origem. Querem ampliar as possibilidades profissionais, de status e de reconhecimento social e evitar experiências  de mobilidade descendente.",JORGE CUSTODIO
