uf;candidatura;partido;pct_gastos;pct_votos
GO;GUSTAVO MENDANHA MELO;PATRIOTA;26,76;25,20
GO;RONALDO RAMOS CAIADO;UNIÃO;38,55;51,81
GO;WOLMIR THEREZIO AMADO;PT;4,02;6,98
GO;VITOR HUGO DE ARAUJO ALMEIDA;PL;28,92;14,81
MG;ALEXANDRE KALIL;PSD;33,82;35,08
MG;CARLOS ALBERTO DIAS VIANA;PL;15,60;7,23
MG;ROMEU ZEMA NETO;NOVO;37,20;56,18
PR;ROBERTO REQUIÃO DE MELLO E SILVA;PT;17,79;26,23
PR;CARLOS ROBERTO MASSA JUNIOR;PSD;61,72;69,64
PR;RICARDO CRACHINESKI GOMYDE;PDT;15,73;2,08
RJ;PAULO GUSTAVO GANIME ALVES TEIXEIRA;NOVO;2,62;5,32
RJ;MARCELO RIBEIRO FREIXO;PSB;24,64;27,39
RJ;RODRIGO NEVES BARRETO;PDT;30,07;8,00
RJ;CLÁUDIO BOMFIM DE CASTRO E SILVA;PL;42,06;58,69
