ano,codigo_programa,sigla_ies,nome_ies,nome_programa,grande_area,area_conhecimento,area_avaliacao,autor,titulo,nivel,palavras_chave,resumo
1987,15001016002P5,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,PLANEJAMENTO DO DESENVOLVIMENTO,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,SOUZA JOSE STENIO GONZAGA DE,AGRICULTURA:RELACOES SOCIAIS DE PR ODUCAO NAO CAPITALISTA E OU CAPITA LISTAS?,Mestrado,AGRICULTURA RELACOES DE PRODUCAO CAPITALISMO,ESTE TRABALHO REPRESENTA A TENTATI VA DE UMA REFLEXAO SOBRE ALTERNATI VAS PELAS QUAIS O HOMEN DO CAMPO SEORGANIZA SEGUNDO UMA ESTRUTURA SOCIO ECONOMICA SUBORDINADA AO PRINCIPIDA VALORIZACAO DO CAPITAL
1987,22001018008P3,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,LIMA MARCELO AIRES CAMURCA,A COMUNIDADE DO JUAZEIRO NA GUERRA CORONEIS RELACAO ENTRE AS OLIGARQUIAGRARIAS SETORES COMERCIAIS CAMADASDO SECULO XX,Mestrado,GUERRA DOS CORONEIS                RELACAO                            PRIMEIRAS,ESTABELECER UMA RELACAOENTREOS DIVESO AUTORES SOCIAIS RELACIONADOSEM TO EVENTO DA GUERRADOJUAZEIRO APOS OEVENTO ESTABELECEU SEUMA SITUACAO DEQUILIBRIODEFORCAS FICANDO ASCAMADADOMINANTE OLIGARQUIAS E LIBERAL COM NDO SEPARAO GOVERNO LOCAL ATE 1930
1987,23001011004P0,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,CIÊNCIAS SOCIAIS (DESENVOLVIMENTO REGIONAL),CIÊNCIAS HUMANAS,SOCIOLOGIA DO DESENVOLVIMENTO,SOCIOLOGIA,TEIXERA  WANI FERNANDES PEREIRA,UTILIZACAO DA FORCA DE TRABALHO FEMININA NA INDUSTRIA TEXTIL DO RIOGRANDE DO NORTE: UM ESTUDO DE CASO,Mestrado,FORCA DE TRABALHO   EXPLORACAO  REPRESENTACAO,A DISSERTACAO ANALISA ASCONDICOES  DE TRABALHO DA MULHER NAINDUSTRIA TEXTIL DO RN APARTIRDE UMA DE SUAS UNIDADES  PROCURA APRENDERCOMO SE DAA INICIACAO AO TRABALHO FABRILDESTAPARCELA DA FORCA DE TRABALHODE ORIG EMRURAL E OS MECANISMOS QUE PERMITEM SUAINSERCAO NO MERCADO DE TRABALHOLOCAL E NUM OUTRO MOMENTO FAVORECEM A SUA EXPULSAO
1987,24001015004P3,UFPB-JP,UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA ),SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,Não Informado,SABER E PODER NA MEDICINA UM ESTUD O DA MEDICINA ATUAL SEGUNDO AS CATEGORIAS ANALITICAS DE MICHEL FOUCAULT,Mestrado,,"E UM ESTUDO DA MEDICINA ATUAL SEGUNDO AS CATEGORIAS ANALITICAS PROPOSTAS POR MICHEL FOUCAULT ATRAVES DA ANALISE DO DISCURSO MEDICO BUSCOU-SELUCIDAR OS MECANISMOS DE PODER ENQ ANTO INSTRUMENTO DE ANALISE CAPAZ DE EXPLICAR A PRODUCAO DE SABER.NOSSO INTUITO E ASSOCIAR,EM TERMOS DE ANALISE DO DISCURSO,AS DUAS ETAPAS DA TRAJETORIA TEORICA DE FOUCAULT:AARQUEOLOGIA E A GENEALOGIA.PARA TALUTILIZAMOS AS REGRAS DE FOMACAO INT ERNA DO DISCURSO MEDICO (ARQUEOLOGIA) MAS EXPLICAMOS ESTA FORMACAO A LUZ DAS RELACOES DE PODER (GENEALOGIA).A ANALISE PRIVILEGIA O PODER EM SUAS EXTREMIDADES,ATENTA A SUAS FORMAS LOCAIS E A INVESTIGACAO DOS PRO"
1987,24001023023P3,UFPB/C.G.,(INATIVA) UNIVERSIDADE FEDERAL DA PARAÍBA/CAMPINA GRANDE,SOCIOLOGIA RURAL,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,OLIVEIRA ILDES FERREIRA DE,A LUTA PELA AUTONOMIA E A PARTICIPACAO POLITICA DOS CAMPONESES:UM ESTUDO NAS MICRO REGIOES DE FEIRA DE SANTANA E SERRINHA NO ESTADO DA BAHIA,Mestrado,ORGANIZACAO ECONOMICA FAMILIAR     AUTONOMIA E SUBORDINACAO           PARTICIPAC,TICA DOS CAMPONESES NAS REGIOES ESTUDADAS
1987,32001010033P6,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,CASTRO  CARLOS EDUARDO DE ATAIDE,REGIME AUTORITAIRE ET ENTREPRISE PUBLIQUE AU BRESIL,Doutorado,BRASIL POS 64 EMPRESA PUBLICA      AUTORITARISMO,O REGIME AUTORITARIO DE 1964 SE INSTRUMENTA PARA A IMPLEMENTACAO DE UMPLANO DE DESENVOLVIMENTO ECONOMICO ACELERADO  BASEADO NO INVESTIMENTO ESTRANGEIRO E NA AMPLIACAO DA PARTICIPACAO ESTATAL NA ECONOMIA  O MODE LO BASEIA SE NA ADOCAO DE DISTRIBUICAO REGRESSIVA DA RENDA  DO CONTROLE OU ELIMINACAO DAS ELEICOES  DE SEVERAS RESTRICOES A ATIVIDADE SINDICAL  DE UM PROGRAMA DE AUSTERIDADE ECONOMICA QUE IMPOS O CONTROLE SALAR IAL DOS SETORES POPULARES E DE FORTE REPRESSAO AOS GRUPOS OPOSITORES COM O USO SELETIVO  MAS FREQUENTE  DA TORTURA  ESTA TESE ANALISA AS ESPECIFICIDADES DESTE REGIME E O PAPELDA EMPRESA PUBLICA NA REALIZACAO DO OLITICO CARACTERIZADO PELA AUSENCIADE UMA CLASSE CAPAZ DE IMPOR SUA HEGEMONIA E ULTRAPASSAR SUA CONDICAO DE CLASSE DOMINANTE TRANSFORMANDO SE EM CLASSE DIRIGENTE  O DESENVOLVIMENTO DEPENDENTE IMPLICA NA AMPLIAC AO CRESCENTE DA INTERVENCAO DO ESTADO NA ECONOMIA E  EM PARTICULAR  NAAMPLIACAO DO SETOR PRODUTIVO ESTATAL  QUE RESULTA DE CONDICOES PROPRIAS DA FASE MONOPOLISTA DO DESENVOLVIMENTO CAPITALISTA RECENTE SENDO  EN TRETANTO  FORTEMENTE CONDICIONADA EMODELADA PELO REGIME QUE A ORGANIZAE CONTROLA
1987,33003017015P3,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,EDMUNDO FERNANDES DIAS,DEMOCRACIA OPERARIA. CONSTRUINDO A NOVA CIVILIZACAO.,Doutorado,"ESTADO,CLASSES,PARTIDO,SINDICATO,  CONSELHOS DE FABRICA,CIDADANIA,HISTORIA VONTA","A TESE E UMA CONSTRUCAO DO DISCURSOGRAMSCIANA DURANTE O PERIODO DESUA MACAO(1914-1921). FALAMOS DE CONSTRUCAO POIS,EFETIVAMENTE,O MATERIAL  RABALHADO E COMPOSTO POR ARTIGOS   ORNALISTICOS. O PERIODO ESCOLHIDO E MARCADO PELA CRISE DA SOCIALDEMOCRACIA, A PRIMEIRA GUERRA MUNDIAL E A PERSPECTIVA DA REVOLUCAO SOCIALISTA. A QUESTAO DA DEMOCRACIA APARECESOBREDETERMINADA PELA QUESTAO DO SOCIALISMO. O 1.CAP.REFERE-SE AO UNIVERSO IDEOLOGICO VIVIDO POR GRAMSCI E SEUS IN-TERLOCUTORES                       O 2.E MARCADO PELA RELACAO CIDADA  NIA-CULTURA-FORMAS ORGANIZATIVAS DACLASSE OPERARIA NOPERIODO 1914-1918 PCAO DE UMA NOVA CIDADANIA.A FIGURACENTRAL E A DO PRODUTOR E NAO MAIS DO ASSARIADO DIVORCIADO DA SUA DETEMINACAO POLITICA DE ELEITOR.       O 4. CAP E A ANALISE DO BIENNIO ROS(1919-1920)ONDE SAO VIVIDAS ESTAS QUESTOES."
1987,41001010018P6,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,SOCIOLOGIA POLÍTICA,CIÊNCIAS HUMANAS,OUTRAS SOCIOLOGIAS ESPECÍFICAS,SOCIOLOGIA,TERESA KLEBA LISBOA,O MOVIMENTO DOS TRABALHADORES RURA IS SEM TERRA DO OESTE CATARINENSE  UM NOVO MOVIMENTO SOCIAL,Mestrado,,ESTE TRABALHO E UM ESTUDO SOBRE O  MOV DOS TRAB RURAIS SEM TERRA DO OESTE CATARINENSE SUA ORGANIZACAO FORMAS DE LUTA E CARACTERISTICAS ESTE MOVIM APRSENTA CARACTERISTICAS DE  FINIDAS QUIE SE ENQUADRAM NA TEORIA DOS NOVOS MOVIM SOCIAIS SENDO ASSIMA AUTORA O ANALISA A LUZ DESTA TEO RIA OS NOVOS MOV SOCIAIS SURGEM NO BRASIL A PARTIR DA DECADA DE 70 ECOMECAM A REQUERER UM NOVO PARADIGMA DE ANALISE O TRABALHO ACOMPANHA A TRAJETORIA DAS 2000 FAMILIAS SEM TERRA DO OESTE CATERINENSE QUE OCUPA RAM 18 LOCALIDADES EM MAOIO DE 1985A AGLUTINACAO DAS MESMAS EM TRES GRANDES ACAMPAMENTOS ATE AS ASSENTAMENTOS DEFINITICOS DOIS ANOS DEPOIS PA CPT  PARTICOSPOLITICOS E SENDICATO EM RELACAO AO MOVIMENTO E POR ULTIMO MOSTRA UM BREVE PANORAMA DA REFORMA AGRARIA EM SANTA CATARINA E  RELATA A SITUACAO DAS FAMILIAS DO  MOVIMENTO DOS SEM TERRA EM SEUS RES PECTIVOS ASSENTAMENTOS
1987,42001013012P7,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,SOCIOLOGIA,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,LIEDRE  ELIDA RUBINI,LABOR CONTROL IN DEPENDENT DEVELOPMENT   A CASE STUDY OF THE BRAZILIANELECTRONICS INDUSTRY IN RIO GRANDE DO SUL,Doutorado,OPERARIO  CONTROLE                 PROCESSO DE TRABALHO               TRABALHO F,ANALISE DA EVOLUCAO DAS FORMAS DE CONTROLE OPERARIO NO CONTEXTO DO SISTEMA DE RELACOES DE TRABALHO QUE PREVALESCERAM NO BRASIL ENTRE 1970 1985  A INVESTIGACAO EMPIRICA FOI REALIZADA NA INDUSTRIA ELETRONICA NO R S  ENFOCADO O PROCESSO DE DIFERENCIACAO DA FORCA DE TRABALHO COMO RESULTADO DE PERIODOS DE CONTROLE OPERARIO  QUE SAO: 1  POLITICAS DO ESTADO; 2  ESTRATEGIAS GERENCIAIS; 3  ESTRUTURA SINDICAL; 4  DISCRIMINACAO SEXUAL DA FORCA DE TRABALHO METODO S BUROCRATICOS DE CONTROLE OPERARIONOS LOLAIS DE TRABALHO TEM SIDO MENOS DESENVOLVIDOS EM SOCIEDADES DE CAPITALISMO DEPENDENTE  SE COMPARADOS COM AS DE CAPITALISMO CENTRAL A ODOS BUROCRATILOS DE CONTROLE OPERARIO E TORNOU TAIS METODOS DESNELESSARIOS  ANALISE DOS ACORDOS COLETIV OS DE TRABALHO  QUE DEMONSTRAM A LUTA DOS SINDICATOS POR MEDIDAS LEGAIS DE PROTECAO CONTRA A COMPETICAO E NTRE OS TRABALHADORES NO MERCADO DETRABALHO  O ESTUDO DEMONTRA  TAMBEM  QUE A DISCRIMINACAO DE MULHERES NO MERCADO DE TRABALHO TEM SIDO UM DOS ELEMENTOS MAIS IMPORTANTES NA CRIACAO ME DIVISOES ENTRE TRABALHADOR ES E  PORTANTO  FATOR SIGNIFICATIVONA ANALISE DE METODOS DE CONTROLE OPERARIO NO BRASIL
1987,31001017020P9,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,SOCIOLOGIA E ANTROPOLOGIA,CIÊNCIAS HUMANAS,OUTRAS SOCIOLOGIAS ESPECÍFICAS,SOCIOLOGIA,CACILDA BHERING FRANCO,O INTELECTUAL E O PODER NO PROJETO ESTETICO-POLITICO DE PLINIO SALGADO(1922-1937),Mestrado,"PLINIO SALGADO,                    PENSAMENTO REVOLUCIONARIO,         PENSAMENTO","O INTELECTUAL COMO AGENTE HISTORICO, SURGE EM PLINIO SALGADO NA RELACAO ENTRE LITERATURA E POLITICA, NO  INTERIOR DO MOVIMENTO DO MODERNISMOQUANDO DA DISCUSSAO DA PROBLEMATICADA BRASILIDADE, ESSA VALORIZACAO DO NACIONAL. DEFINE-SE NESSE MOMENTO  SEU PROJETO ESTETICO COMO PROJETO  POLITICO, PELA CONSTRUCAO DE UM INSTRUMENTAL DE LEGITIMACAO HEGEMONICA. TEMDO COMO RESPALDO O PENSAMENTO AUTORITARIO E PREOCUPADO COM A INTR OMISSAO DO INTELECTUAL REVOLUCIONARIO, PORTADOR DAS ""IDEOLOGIAS EXOTICAS"", PRETENDIA ELE QUE AS RELACOES RELATIVAMENTE AUTONOMAS ENTRE O CAMPO DE PODER E O CAMPO INTELECTUAL PASSASSEM A COMPOR UM SISTEMA AUTOMA A. O INSTRUMENTAL TEORICO DE ANALISE CONCENTRA-SE NA CONCEPCAO DO INTELECTUAL EM ANTONIO GRAMSCI. NESSA  PERSPECTIVA, A TEORIA DE PODER CONSTRUIDA POR PLINIO SALGADO ABRE ESPACO PARA A ANALISE DA INFLUENCIA NO BRASIL DESSAS DUAS VERTENTES DO PENSAMENTO, A REVOLUCIONARIA E A CONTRA-REVOLUCIONARIA."
