ID,country_year,country,year,survey,survey2,Random_sampling,sampling_nom,elite_type,elite_type2,elite_type3,population_similarity_elite_type,female,sex,age,age_groups,self_education,question_simil_self_education,response_category_self_education,ideology_left_right,ideology_left_right_quintiles,question_simil_ideology_left_right,response_category_ideology_left_right,voters_are_ignorant,question_simil_voters_are_ignorant,response_category_voters_are_ignorant,Gov_should_ensure,question_simil_Gov_should_ensure,response_category_Gov_should_ensure,redistrib_min_income,question_simil_redistrib_min_income,response_category_redistrib_min_income,redistrib_free_education,question_simil_redistrib_free_education,response_category_redistrib_free_education,redistrib_higher_education,question_simil_redistrib_higher_education,response_category_redistrib_higher_education,redistrib_free_health,question_simil_redistrib_free_health,response_category_redistrib_free_health,redistrib_quotas_education,question_simil_redistrib_quotas_education,response_category_redistrib_quotas_education,redistrib_agrarian_reform,question_simil_redistrib_agrarian_reform,response_category_redistrib_agrarian_reform,redistrib_unemployment_ens,question_simil_redistrib_unemployment_ens,response_category_redistrib_unemployment_ens,redistrib_job_stability,question_simil_redistrib_redistrib_job_stability,response_category_redistrib_job_stability,redistrib_quotas_hiring,question_simil_redistrib_quotas_hiring,response_category_redistrib_quotas_hiring,redistrib_tax_capital,question_simil_redistrib_tax_capital,response_category_redistrib_tax_capital,redistrib_tax_income,question_simil_redistrib_tax_income,response_category_redistrib_tax_income,redistrib_progressive_tax,question_simil_redistrib_progressive_tax,response_category_redistrib_progressive_tax,redistrib_participation_profits,question_simil_redistrib_participation_profits,response_category_redistrib_participation_profits,neolib_privatize,question_simil_neolib_privatize,response_category_neolib_privatize,neolib_reduce_benefits,question_simil_neolib_reduce_benefits,response_category_neolib_reduce_benefits,neolib_reduce_regulation,question_simil_neolib_reduce_regulation,response_category_neolib_reduce_regulation,neolib_open_economy,question_simil_open_economy,response_category_open_economy,redistrib_mixed,redistrib_mixed_similarity_to_index,redistrib_mixed_original_scale,general_trust,trust_businesses,trust_gov,trust_parties,trust_courts,feasable_to_keep_current_welfare,Accepts_inequality_increase
1,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,48,40 to 59,0.67,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,53,40 to 59,0.33,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,70,60 plus,0.33,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,51,40 to 59,0.67,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.5,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,47,40 to 59,0.67,1,6 point scale,0.6,0.75,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,49,40 to 59,0.67,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,50,40 to 59,0.67,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.5,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,55,40 to 59,0.83,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,58,40 to 59,0.67,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,54,40 to 59,0.67,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,44,40 to 59,0.83,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,47,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,44,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,52,40 to 59,0.33,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
