ano;ente;centil;n_contribuintes;rendimentos_tributaveis_milhoes;imposto_devido_milhoes;bens_milhoes;rendimentos_isentos_milhoes
2006;BRASIL;1;241563;0,00;0,16;5281,59;481,27
2006;BRASIL;2;241563;0,00;0,22;5295,48;483,44
2006;BRASIL;3;241562;0,00;0,31;5566,27;459,87
2006;BRASIL;4;241563;0,00;0,17;5860,02;481,93
2006;BRASIL;5;241562;0,00;0,17;5193,31;464,23
2006;BRASIL;6;241563;0,00;0,13;5193,68;454,74
2006;BRASIL;7;241562;0,00;0,08;5316,54;460,86
2006;BRASIL;8;241563;0,00;0,10;5443,09;569,25
2006;BRASIL;9;241562;0,00;0,21;5274,17;536,98
2006;BRASIL;10;241563;0,00;0,16;5219,60;547,41
2006;BRASIL;11;241562;0,00;0,09;5698,88;499,67
2006;BRASIL;12;241563;73,31;0,11;5704,97;328,64
2006;BRASIL;13;241562;428,32;0,12;6712,24;702,63
2006;BRASIL;14;241563;763,65;0,11;6400,90;713,04
2006;BRASIL;15;241562;954,85;0,10;5625,27;1803,40
2006;BRASIL;16;241563;977,75;0,04;5208,95;2578,10
2006;BRASIL;17;241563;990,97;0,12;4554,92;1714,56
2006;BRASIL;18;241562;1095,53;0,23;5519,89;639,92
2006;BRASIL;19;241563;1267,82;0,17;5489,25;525,69
2006;BRASIL;20;241562;1439,88;0,17;5298,18;827,32
2006;BRASIL;21;241563;1591,95;0,23;5735,69;497,81
2006;BRASIL;22;241562;1766,67;0,21;5796,80;532,00
2006;BRASIL;23;241563;1929,54;0,24;6371,18;1260,57
2006;BRASIL;24;241562;2053,15;0,38;6177,29;421,56
2006;BRASIL;25;241563;2210,20;0,38;5980,85;444,52
2006;BRASIL;26;241562;2364,04;0,39;4995,84;441,26
2006;BRASIL;27;241563;2489,24;0,31;5651,59;427,76
2006;BRASIL;28;241562;2634,71;0,59;6570,70;636,84
2006;BRASIL;29;241563;2792,22;0,46;6635,60;465,80
2006;BRASIL;30;241562;2897,63;0,45;5022,08;849,39
2006;BRASIL;31;241563;2957,86;0,25;6257,87;637,44
2006;BRASIL;32;241562;3059,02;0,37;5497,30;390,27
2006;BRASIL;33;241563;3166,56;0,42;6132,06;422,54
2006;BRASIL;34;241563;3269,94;0,46;5825,41;366,34
2006;BRASIL;35;241562;3363,92;0,69;5863,86;379,73
2006;BRASIL;36;241563;3438,47;0,51;6052,48;340,77
2006;BRASIL;37;241562;3497,73;0,35;5642,54;458,99
2006;BRASIL;38;241563;3565,62;0,39;6087,70;356,07
2006;BRASIL;39;241562;3618,11;0,78;4960,43;247,87
2006;BRASIL;40;241563;3655,67;0,74;4942,13;245,17
2006;BRASIL;41;241562;3717,70;0,59;4746,94;272,33
2006;BRASIL;42;241563;3772,62;0,44;5166,91;280,86
2006;BRASIL;43;241562;3831,48;0,58;4863,09;200,37
2006;BRASIL;44;241563;3880,19;0,95;5427,18;381,49
2006;BRASIL;45;241562;3935,33;0,68;6438,90;369,80
2006;BRASIL;46;241563;3992,06;0,48;5121,13;270,61
2006;BRASIL;47;241562;4049,76;0,86;5326,03;273,66
2006;BRASIL;48;241563;4101,88;0,74;5786,51;217,51
2006;BRASIL;49;241562;4158,22;0,69;5408,43;229,42
2006;BRASIL;50;241563;4216,89;0,47;6427,88;217,01
2006;BRASIL;51;241563;4269,31;0,73;5759,40;288,09
2006;BRASIL;52;241562;4324,39;0,70;5971,97;300,85
2006;BRASIL;53;241563;4348,13;0,79;7462,19;374,40
2006;BRASIL;54;241562;4367,00;0,45;6372,34;339,79
2006;BRASIL;55;241563;4410,56;0,78;6675,96;259,17
2006;BRASIL;56;241562;4453,55;0,59;6509,29;306,97
2006;BRASIL;57;241563;4476,72;0,39;6263,18;241,01
2006;BRASIL;58;241562;4505,43;0,68;6648,67;249,63
2006;BRASIL;59;241563;4533,51;1,56;6219,03;287,60
2006;BRASIL;60;241562;4604,23;7,12;7138,39;403,99
2006;BRASIL;61;241563;4690,75;12,65;7261,20;366,90
2006;BRASIL;62;241562;4787,30;19,20;7258,33;425,98
2006;BRASIL;63;241563;4884,11;24,26;7932,18;512,28
2006;BRASIL;64;241562;4991,71;30,23;6956,84;425,16
2006;BRASIL;65;241563;5105,70;37,54;7132,57;361,44
2006;BRASIL;66;241562;5222,73;45,29;7502,28;445,52
2006;BRASIL;67;241563;5346,53;53,40;7599,29;443,46
2006;BRASIL;68;241563;5476,43;61,11;7275,00;453,36
2006;BRASIL;69;241562;5606,05;72,51;8351,13;394,55
2006;BRASIL;70;241563;5745,13;82,01;8148,33;773,99
2006;BRASIL;71;241562;5891,77;88,34;7513,02;423,06
2006;BRASIL;72;241563;6060,28;102,70;8130,05;469,58
2006;BRASIL;73;241562;6237,33;116,31;9183,87;504,11
2006;BRASIL;74;241563;6422,43;130,27;7906,70;460,14
2006;BRASIL;75;241562;6623,09;144,26;8880,04;643,06
