"Var1","Var2"
"1",1,100
"2",2,99
"3",3,98
"4",4,97
"5",5,96
"6",6,95
"7",7,94
"8",8,93
"9",9,92
"10",10,91
"11",11,90
"12",12,89
"13",13,88
"14",14,87
"15",15,86
"16",16,85
"17",17,84
"18",18,83
"19",19,82
"20",20,81
"21",21,80
"22",22,79
"23",23,78
"24",24,77
"25",25,76
"26",26,75
"27",27,74
"28",28,73
"29",29,72
"30",30,71
"31",31,70
"32",32,69
"33",33,68
"34",34,67
"35",35,66
"36",36,65
"37",37,64
"38",38,63
"39",39,62
"40",40,61
"41",41,60
"42",42,59
"43",43,58
"44",44,57
"45",45,56
"46",46,55
"47",47,54
"48",48,53
"49",49,52
"50",50,51
"51",51,50
"52",52,49
"53",53,48
"54",54,47
"55",55,46
"56",56,45
"57",57,44
"58",58,43
"59",59,42
"60",60,41
"61",61,40
"62",62,39
"63",63,38
"64",64,37
"65",65,36
"66",66,35
"67",67,34
"68",68,33
"69",69,32
"70",70,31
"71",71,30
"72",72,29
"73",73,28
"74",74,27
"75",75,26
"76",76,25
"77",77,24
"78",78,23
"79",79,22
"80",80,21
"81",81,20
"82",82,19
"83",83,18
"84",84,17
"85",85,16
"86",86,15
"87",87,14
"88",88,13
"89",89,12
"90",90,11
"91",91,10
"92",92,9
"93",93,8
"94",94,7
"95",95,6
"96",96,5
"97",97,4
"98",98,3
"99",99,2
"100",100,1
