cod_ibge,pop_quilombola
1100015,115
1100023,0
1100031,6
1100049,0
1100056,37
1100064,0
1100072,12
1100080,1345
1100098,0
1100106,494
1100114,0
1100122,0
1100130,0
1100148,0
1100155,0
1100189,0
1100205,95
1100254,0
1100262,0
1100288,0
1100296,0
1100304,0
1100320,31
1100338,16
1100346,0
1100379,0
1100403,0
1100452,0
1100502,0
1100601,0
1100700,0
1100809,0
1100908,0
1100924,0
1100940,0
1101005,0
1101104,0
1101203,0
1101302,0
1101401,0
1101435,0
1101450,0
1101468,518
1101476,0
1101484,0
1101492,248
1101500,8
1101559,0
1101609,0
1101708,0
1101757,0
1101807,0
1200013,0
1200054,0
1200104,0
1200138,0
1200179,0
1200203,0
1200252,0
1200302,0
1200328,0
1200336,0
1200344,0
1200351,0
1200385,0
1200393,0
1200401,0
1200427,0
1200435,0
1200450,0
1200500,0
1200609,0
1200708,0
1200807,0
1300029,72
1300060,0
1300086,0
1300102,0
1300144,0
1300201,0
1300300,0
1300409,83
1300508,1891
1300607,0
1300631,0
1300680,0
1300706,0
1300805,0
1300839,0
1300904,0
1301001,0
1301100,0
1301159,0
1301209,0
1301308,0
1301407,0
1301506,0
1301605,0
1301654,0
1301704,0
1301803,0
1301852,0
1301902,352
1301951,0
1302009,0
1302108,0
1302207,0
1302306,0
1302405,0
1302504,4
1302553,0
1302603,214
1302702,0
1302801,0
1302900,0
1303007,0
1303106,0
1303205,196
1303304,0
1303403,0
1303502,0
1303536,0
1303569,0
1303601,0
1303700,0
1303809,0
1303908,0
1303957,0
1304005,0
1304062,0
1304104,0
1304203,0
1304237,0
1304260,0
1304302,0
1304401,0
1400027,0
1400050,0
1400100,0
1400159,0
1400175,0
1400209,0
1400233,0
1400282,0
1400308,0
1400407,0
1400456,0
1400472,0
1400506,0
1400605,0
1400704,0
1500107,14526
1500131,0
1500206,4507
1500305,0
1500347,0
1500404,1806
1500503,1
1500602,0
1500701,0
1500800,362
1500859,0
1500909,145
1500958,1318
1501006,0
1501105,869
1501204,12857
1501253,0
1501303,5438
1501402,1361
1501451,0
1501501,0
1501576,0
1501600,136
1501709,708
1501725,0
1501758,50
1501782,722
1501808,0
1501907,2451
1501956,1030
1502004,877
1502103,10135
1502152,0
1502202,13
1502301,125
1502400,847
1502509,0
1502608,599
1502707,0
1502756,4014
1502764,0
1502772,0
1502806,1738
1502855,223
1502905,0
1502939,0
1502954,0
1503002,0
1503044,0
1503077,623
1503093,0
1503101,3472
1503200,388
1503309,559
1503408,1246
1503457,439
1503507,2583
1503606,0
1503705,0
1503754,0
1503804,0
1503903,4
1504000,56
1504059,0
1504109,287
1504208,0
1504307,7
1504406,0
1504422,0
1504455,0
1504505,0
1504604,4936
1504703,6250
1504752,0
1504802,572
1504901,0
1504950,0
1504976,0
1505007,53
1505031,0
1505064,0
1505106,6815
1505205,3500
1505304,9451
1505403,1820
1505437,0
1505486,0
1505494,0
1505502,0
1505536,0
1505551,0
1505601,0
1505635,0
1505650,0
1505700,1705
1505809,599
1505908,487
1506005,126
1506104,3
1506112,9
1506138,0
1506161,0
1506187,0
1506195,0
1506203,0
1506302,7437
1506351,354
1506401,0
1506500,2243
1506559,1243
1506583,2
1506609,123
1506708,0
1506807,4363
1506906,0
1507003,74
1507102,0
1507151,0
1507201,467
1507300,0
1507409,0
1507458,0
1507466,0
1507474,0
1507508,0
1507607,2503
1507706,0
1507755,0
1507805,0
1507904,23
1507953,0
1507961,0
1507979,0
1508001,332
1508035,1816
1508050,0
1508084,0
1508100,0
1508126,0
1508159,0
1508209,20
1508308,1583
1508357,172
1508407,0
1600055,0
1600105,0
1600154,0
1600204,58
1600212,0
1600238,82
1600253,105
1600279,345
1600303,9110
1600402,1483
1600501,146
1600535,142
1600550,0
1600600,1176
1600709,58
1600808,189
1700251,0
1700301,0
1700350,0
1700400,136
1700707,0
1701002,0
1701051,0
1701101,0
1701309,829
1701903,0
1702000,0
1702109,30
1702158,0
1702208,81
1702307,0
1702406,1572
1702554,0
1702703,0
1702901,0
1703008,0
1703057,0
1703073,0
1703107,0
1703206,0
1703305,0
1703602,0
1703701,1022
1703800,0
1703826,0
1703842,0
1703867,0
1703883,0
1703891,0
1703909,0
1704105,0
1704600,0
1705102,1304
1705508,0
1705557,0
1705607,92
1706001,0
1706100,0
1706258,0
1706506,0
1707009,48
1707108,0
1707207,50
1707306,0
1707405,127
1707553,0
1707652,0
1707702,111
1708205,0
1708254,0
1708304,0
1709005,0
1709302,0
1709500,0
1709807,95
1710508,0
1710706,0
1710904,0
1711100,0
1711506,73
1711803,0
1711902,0
1711951,320
1712009,0
1712157,0
1712405,0
1712454,0
1712504,0
1712702,1190
1712801,0
1713205,0
1713304,0
1713601,385
1713700,0
1713809,0
1713957,907
1714203,967
1714302,0
1714880,0
1715002,0
1715101,32
1715150,61
1715259,0
1715507,0
1715705,0
1715754,0
1716109,0
1716208,778
1716307,0
1716505,0
1716604,0
1716653,0
1716703,0
1717008,15
1717206,0
1717503,0
1717800,0
1717909,113
1718006,325
1718204,104
1718303,0
1718402,0
1718451,0
1718501,0
1718550,0
1718659,0
1718709,0
1718758,0
1718808,0
1718840,0
1718865,671
1718881,0
1718899,0
1718907,364
1719004,569
1720002,0
1720101,0
1720150,682
1720200,0
1720259,14
1720309,0
1720499,0
1720655,0
1720804,0
1720853,0
1720903,4
1720937,0
1720978,0
1721000,6
1721109,0
1721208,0
1721257,0
1721307,0
1722081,0
1722107,0
2100055,0
2100105,0
2100154,0
2100204,15608
2100303,158
2100402,0
2100436,125
2100477,0
2100501,200
2100550,0
2100600,0
2100709,6915
2100808,2
2100832,2100
2100873,16
2100907,0
2100956,0
2101004,1791
2101103,3588
2101202,2926
2101251,390
2101301,3809
2101350,2338
2101400,0
2101509,3
2101608,0
2101707,2720
2101731,0
2101772,1
2101806,0
2101905,4475
2101939,0
2101970,591
2102002,0
2102036,0
2102077,0
2102101,6045
2102150,0
2102200,430
2102309,0
2102325,0
2102358,0
2102374,511
2102408,2764
2102507,6379
2102556,0
2102606,1879
2102705,1193
2102754,1422
2102804,0
2102903,0
2103000,1479
2103109,2268
2103125,3433
2103158,0
2103174,73
2103208,204
2103257,0
2103307,2940
2103406,296
2103505,1108
2103554,0
2103604,161
2103703,6578
2103752,0
2103802,106
2103901,0
2104008,0
2104057,0
2104073,0
2104081,473
2104099,0
2104107,0
2104206,14
2104305,0
2104404,4
2104503,0
2104552,0
2104602,0
2104628,0
2104651,0
2104677,0
2104701,0
2104800,50
2104909,3170
2105005,222
2105104,5898
2105153,519
2105203,160
2105302,0
2105351,0
2105401,14511
2105427,0
2105450,0
2105476,0
2105500,0
2105609,0
2105658,0
2105708,0
2105807,0
2105906,0
2105922,0
2105948,0
2105963,0
2105989,0
2106003,1616
2106102,0
2106201,0
2106300,0
2106326,0
2106359,0
2106375,0
2106409,3490
2106508,6221
2106607,1855
2106631,229
2106672,0
2106706,0
2106755,187
2106805,6530
2106904,4720
2107001,0
2107100,37
2107209,617
2107258,0
2107308,0
2107357,167
2107407,0
2107456,3528
2107506,0
2107605,1748
2107704,0
2107803,971
2107902,1
2108009,372
2108058,135
2108108,0
2108207,151
2108256,3903
2108306,9269
2108405,1802
2108454,927
2108504,702
2108603,10606
2108702,0
2108801,1419
2108900,0
2109007,0
2109056,1600
2109106,1
2109205,3746
2109239,1
2109270,2990
2109304,2215
2109403,281
2109452,0
2109502,0
2109551,0
2109601,4368
2109700,0
2109759,0
2109809,6210
2109908,1192
2110005,0
2110039,0
2110104,764
2110203,10236
2110237,0
2110278,0
2110302,11
2110401,85
2110500,6302
2110609,0
2110658,180
2110708,0
2110807,0
2110856,0
2110906,0
2111003,5185
2111029,0
2111052,0
2111078,1010
2111102,0
2111201,1453
2111250,0
2111300,8294
2111409,3047
2111508,586
2111532,0
2111573,0
2111607,0
2111631,0
2111672,0
2111706,9255
2111722,178
2111748,42
2111763,0
2111789,5687
2111805,0
2111904,0
2111953,0
2112001,0
2112100,55
2112209,423
2112233,82
2112274,0
2112308,0
2112407,4332
2112456,1793
2112506,226
2112605,0
2112704,1747
2112803,9964
2112852,0
2112902,2374
2113009,0
2114007,4
2200053,423
2200103,0
2200202,0
2200251,0
2200277,0
2200301,0
2200400,489
2200459,0
2200509,944
2200608,0
2200707,0
2200806,0
2200905,0
2200954,5
2201002,0
2201051,532
2201101,0
2201150,0
2201176,0
2201200,0
2201309,51
2201408,0
2201507,599
2201556,310
2201572,94
2201606,0
2201705,0
2201739,569
2201770,0
2201804,0
2201903,4
2201919,0
2201929,230
2201945,0
2201960,0
2201988,0
2202000,0
2202026,16
2202059,0
2202075,0
2202083,0
2202091,8
2202109,1024
2202117,389
2202133,123
2202174,945
2202208,0
2202251,0
2202307,0
2202406,0
2202455,0
2202505,0
2202539,0
2202554,363
2202604,0
2202653,0
2202703,0
2202711,0
2202729,0
2202737,0
2202752,0
2202778,741
2202802,89
2202851,0
2202901,0
2203008,0
2203107,0
2203206,0
2203230,0
2203255,0
2203271,295
2203305,0
2203354,36
2203404,0
2203420,0
2203453,369
2203503,0
2203602,0
2203701,1208
2203750,1952
2203800,0
2203859,8
2203909,52
2204006,0
2204105,0
2204154,0
2204204,0
2204303,0
2204352,0
2204402,371
2204501,6
2204550,0
2204600,0
2204659,0
2204709,0
2204808,0
2204907,2149
2205003,11
2205102,0
2205151,218
2205201,6
2205250,0
2205276,0
2205300,93
2205359,130
2205409,0
2205458,0
2205508,0
2205516,0
2205524,23
2205532,0
2205540,0
2205557,0
2205565,91
2205573,0
2205581,3
2205599,0
2205607,0
2205706,0
2205805,0
2205854,0
2205904,0
2205953,0
2206001,0
2206050,0
2206100,190
2206209,0
2206308,0
2206357,0
2206407,0
2206506,53
2206605,0
2206654,0
2206670,9
2206696,0
2206704,0
2206720,0
2206753,0
2206803,0
2206902,0
2206951,0
2207009,513
2207108,0
2207207,0
2207306,0
2207355,0
2207405,0
2207504,163
2207553,397
2207603,0
2207702,0
2207751,0
2207777,84
2207793,0
2207801,1615
2207850,0
2207900,0
2207934,186
2207959,41
2208007,34
2208106,135
2208205,66
2208304,0
2208403,844
2208502,16
2208551,0
2208601,0
2208650,1008
2208700,601
2208809,194
2208858,0
2208874,9
2208908,0
2209005,0
2209104,528
2209153,0
2209203,0
2209302,0
2209351,0
2209377,14
2209401,0
2209450,0
2209500,2
2209559,0
2209609,0
2209658,41
2209708,0
2209757,0
2209807,0
2209856,7
2209872,0
2209906,0
2209955,1178
2209971,18
2210003,2152
2210052,0
2210102,0
2210201,863
2210300,0
2210359,394
2210375,0
2210383,0
2210391,0
2210409,206
2210508,0
2210607,2384
2210623,0
2210631,0
2210656,0
2210706,753
2210805,378
2210904,0
2210938,0
2210953,0
2210979,0
2211001,7
2211100,0
2211209,0
2211308,170
2211357,1390
2211407,0
2211506,101
2211605,0
2211704,73
2300101,0
2300150,0
2300200,245
2300309,0
2300408,0
2300507,0
2300606,171
2300705,0
2300754,0
2300804,0
2300903,0
2301000,424
2301109,1016
2301208,0
2301257,0
2301307,311
2301406,0
2301505,0
2301604,0
2301703,45
2301802,0
2301851,0
2301901,0
2301950,0
2302008,0
2302057,0
2302107,488
2302206,155
2302305,273
2302404,61
2302503,0
2302602,0
2302701,0
2302800,123
2302909,0
2303006,0
2303105,0
2303204,0
2303303,0
2303402,609
2303501,24
2303600,0
2303659,0
2303709,2615
2303808,0
2303907,0
2303931,0
2303956,0
2304004,68
2304103,194
2304202,0
2304236,84
2304251,25
2304269,0
2304277,0
2304285,4
2304301,0
2304350,0
2304400,39
2304459,5
2304509,0
2304608,0
2304657,0
2304707,0
2304806,0
2304905,0
2304954,0
2305001,2
2305100,0
2305209,0
2305233,2290
2305266,0
2305308,0
2305332,0
2305357,0
2305407,1
2305506,0
2305605,33
2305654,0
2305704,0
2305803,0
2305902,581
2306009,243
2306108,0
2306207,0
2306256,53
2306306,0
2306405,211
2306504,0
2306553,0
2306603,0
2306702,0
2306801,0
2306900,0
2307007,0
2307106,640
2307205,0
2307254,0
2307304,9
2307403,0
2307502,0
2307601,0
2307635,0
2307650,60
2307700,0
2307809,12
2307908,0
2308005,0
2308104,54
2308203,0
2308302,0
2308351,142
2308377,0
2308401,28
2308500,0
2308609,19
2308708,0
2308807,741
2308906,680
2309003,75
2309102,0
2309201,0
2309300,21
2309409,1053
2309458,88
2309508,0
2309607,568
2309706,18
2309805,0
2309904,230
2310001,0
2310100,0
2310209,0
2310258,0
2310308,359
2310407,0
2310506,0
2310605,0
2310704,0
2310803,14
2310852,0
2310902,0
