regiao,sigla_uf,cod_ibge
Norte,RO,1100080
Norte,RO,1100106
Norte,RO,1100205
Norte,RO,1100338
Norte,RO,1100452
Norte,RO,1100700
Norte,RO,1100809
Norte,RO,1100940
Norte,RO,1101104
Norte,RO,1101492
Norte,AC,1200013
Norte,AC,1200054
Norte,AC,1200104
Norte,AC,1200138
Norte,AC,1200179
Norte,AC,1200203
Norte,AC,1200252
Norte,AC,1200302
Norte,AC,1200328
Norte,AC,1200336
Norte,AC,1200344
Norte,AC,1200351
Norte,AC,1200385
Norte,AC,1200393
Norte,AC,1200401
Norte,AC,1200427
Norte,AC,1200435
Norte,AC,1200450
Norte,AC,1200500
Norte,AC,1200609
Norte,AC,1200708
Norte,AC,1200807
Norte,AM,1300060
Norte,AM,1300144
Norte,AM,1300201
Norte,AM,1300409
Norte,AM,1300607
Norte,AM,1300706
Norte,AM,1300805
Norte,AM,1300904
Norte,AM,1301001
Norte,AM,1301407
Norte,AM,1301506
Norte,AM,1301605
Norte,AM,1301654
Norte,AM,1301704
Norte,AM,1301803
Norte,AM,1301951
Norte,AM,1302108
Norte,AM,1302207
Norte,AM,1302306
Norte,AM,1302405
Norte,AM,1302702
Norte,AM,1302801
Norte,AM,1303205
Norte,AM,1303304
Norte,AM,1303502
Norte,AM,1303601
Norte,AM,1303700
Norte,AM,1303809
Norte,AM,1303908
Norte,AM,1304062
Norte,AM,1304104
Norte,AM,1304237
Norte,RR,1400027
Norte,RR,1400050
Norte,RR,1400100
Norte,RR,1400159
Norte,RR,1400175
Norte,RR,1400209
Norte,RR,1400233
Norte,RR,1400282
Norte,RR,1400308
Norte,RR,1400407
Norte,RR,1400456
Norte,RR,1400472
Norte,RR,1400506
Norte,RR,1400605
Norte,RR,1400704
Norte,PA,1500305
Norte,PA,1500404
Norte,PA,1500503
Norte,PA,1500602
Norte,PA,1500701
Norte,PA,1500800
Norte,PA,1500859
Norte,PA,1501006
Norte,PA,1501105
Norte,PA,1501303
Norte,PA,1501402
Norte,PA,1501451
Norte,PA,1501501
Norte,PA,1501725
Norte,PA,1501808
Norte,PA,1501907
Norte,PA,1502004
Norte,PA,1502400
Norte,PA,1502509
Norte,PA,1502806
Norte,PA,1502855
Norte,PA,1503002
Norte,PA,1503101
Norte,PA,1503408
Norte,PA,1503606
Norte,PA,1503754
Norte,PA,1503903
Norte,PA,1504422
Norte,PA,1504455
Norte,PA,1504505
Norte,PA,1504752
Norte,PA,1504802
Norte,PA,1504901
Norte,PA,1505031
Norte,PA,1505106
Norte,PA,1505304
Norte,PA,1505486
Norte,PA,1505650
Norte,PA,1505700
Norte,PA,1505809
Norte,PA,1505908
Norte,PA,1506005
Norte,PA,1506195
Norte,PA,1506302
Norte,PA,1506351
Norte,PA,1506401
Norte,PA,1506500
Norte,PA,1506807
Norte,PA,1507003
Norte,PA,1507706
Norte,PA,1507805
Norte,PA,1507904
Norte,PA,1507979
Norte,PA,1508050
Norte,PA,1508159
Norte,PA,1508357
Norte,AP,1600055
Norte,AP,1600105
Norte,AP,1600154
Norte,AP,1600204
Norte,AP,1600212
Norte,AP,1600238
Norte,AP,1600253
Norte,AP,1600279
Norte,AP,1600303
Norte,AP,1600402
Norte,AP,1600501
Norte,AP,1600535
Norte,AP,1600550
Norte,AP,1600600
Norte,AP,1600709
Norte,AP,1600808
Nordeste,MA,2100501
Nordeste,MA,2101400
Nordeste,MA,2101806
Nordeste,MA,2102556
Nordeste,MA,2102804
Nordeste,MA,2104057
Nordeste,MA,2104073
Nordeste,MA,2104107
Nordeste,MA,2106102
Nordeste,MA,2107258
Nordeste,MA,2109007
Nordeste,MA,2109502
Nordeste,MA,2109700
Nordeste,MA,2110658
Nordeste,MA,2110807
Nordeste,MA,2111052
Nordeste,MA,2111573
Nordeste,MA,2111607
Nordeste,MA,2112001
Nordeste,CE,2300101
Nordeste,CE,2300606
Nordeste,CE,2300705
Nordeste,CE,2300804
Nordeste,CE,2301000
Nordeste,CE,2301109
Nordeste,CE,2301307
Nordeste,CE,2301604
Nordeste,CE,2301703
Nordeste,CE,2301802
Nordeste,CE,2301901
Nordeste,CE,2302008
Nordeste,CE,2302503
Nordeste,CE,2302701
Nordeste,CE,2303204
Nordeste,CE,2303303
Nordeste,CE,2303709
Nordeste,CE,2303808
Nordeste,CE,2304202
Nordeste,CE,2304277
Nordeste,CE,2304285
Nordeste,CE,2304301
Nordeste,CE,2304400
Nordeste,CE,2304459
Nordeste,CE,2304806
Nordeste,CE,2304954
Nordeste,CE,2305233
Nordeste,CE,2305332
Nordeste,CE,2305357
Nordeste,CE,2305407
Nordeste,CE,2305506
Nordeste,CE,2305704
Nordeste,CE,2306009
Nordeste,CE,2306207
Nordeste,CE,2306256
Nordeste,CE,2306702
Nordeste,CE,2306801
Nordeste,CE,2306900
Nordeste,CE,2307007
Nordeste,CE,2307106
Nordeste,CE,2307205
Nordeste,CE,2307304
Nordeste,CE,2307403
Nordeste,CE,2307502
Nordeste,CE,2307601
Nordeste,CE,2307650
Nordeste,CE,2307700
Nordeste,CE,2308104
Nordeste,CE,2308302
Nordeste,CE,2308401
Nordeste,CE,2308708
Nordeste,CE,2309201
Nordeste,CE,2309508
Nordeste,CE,2309607
Nordeste,CE,2309706
Nordeste,CE,2310001
Nordeste,CE,2310605
Nordeste,CE,2310803
Nordeste,CE,2311108
Nordeste,CE,2311207
Nordeste,CE,2311231
Nordeste,CE,2311355
Nordeste,CE,2311504
Nordeste,CE,2311801
Nordeste,CE,2311959
Nordeste,CE,2312106
Nordeste,CE,2312502
Nordeste,CE,2313104
Nordeste,CE,2313252
Nordeste,CE,2313708
Nordeste,CE,2314003
Nordeste,RN,2401206
Nordeste,RN,2401404
Nordeste,RN,2402204
Nordeste,RN,2402600
Nordeste,RN,2403251
Nordeste,RN,2403509
Nordeste,RN,2403608
Nordeste,RN,2404200
Nordeste,RN,2407104
Nordeste,RN,2407500
Nordeste,RN,2407708
Nordeste,RN,2408102
Nordeste,RN,2408201
Nordeste,RN,2408953
Nordeste,RN,2409506
Nordeste,RN,2409803
Nordeste,RN,2410405
Nordeste,RN,2412005
Nordeste,RN,2412203
Nordeste,RN,2412559
Nordeste,RN,2413201
Nordeste,RN,2413904
Nordeste,RN,2414209
Nordeste,RN,2414407
Nordeste,RN,2415008
Nordeste,PE,2600054
Nordeste,PE,2600203
Nordeste,PE,2601052
Nordeste,PE,2601607
Nordeste,PE,2602902
Nordeste,PE,2603009
Nordeste,PE,2603454
Nordeste,PE,2603926
Nordeste,PE,2605152
Nordeste,PE,2605459
Nordeste,PE,2605707
Nordeste,PE,2606804
Nordeste,PE,2607208
Nordeste,PE,2607406
Nordeste,PE,2607604
Nordeste,PE,2607752
Nordeste,PE,2607901
Nordeste,PE,2608057
Nordeste,PE,2608750
Nordeste,PE,2609402
Nordeste,PE,2609600
Nordeste,PE,2609808
Nordeste,PE,2610707
Nordeste,PE,2611002
Nordeste,PE,2611101
Nordeste,PE,2611606
Nordeste,PE,2612604
Nordeste,PE,2613701
Nordeste,PE,2614808
Nordeste,PE,2615201
Nordeste,AL,2700102
Nordeste,AL,2700300
Nordeste,AL,2700706
Nordeste,AL,2700805
Nordeste,AL,2700904
Nordeste,AL,2701209
Nordeste,AL,2701506
Nordeste,AL,2701605
Nordeste,AL,2701803
Nordeste,AL,2702009
Nordeste,AL,2702355
Nordeste,AL,2702405
Nordeste,AL,2702504
Nordeste,AL,2702553
Nordeste,AL,2702603
Nordeste,AL,2702900
Nordeste,AL,2703106
Nordeste,AL,2703304
Nordeste,AL,2703403
Nordeste,AL,2703700
Nordeste,AL,2704104
Nordeste,AL,2704203
Nordeste,AL,2704401
Nordeste,AL,2704609
Nordeste,AL,2704807
Nordeste,AL,2704906
Nordeste,AL,2705002
Nordeste,AL,2705309
Nordeste,AL,2705408
Nordeste,AL,2705705
Nordeste,AL,2705804
Nordeste,AL,2705903
Nordeste,AL,2706000
Nordeste,AL,2706109
Nordeste,AL,2706208
Nordeste,AL,2706307
Nordeste,AL,2706406
Nordeste,AL,2706422
Nordeste,AL,2706604
Nordeste,AL,2707107
Nordeste,AL,2707206
Nordeste,AL,2707602
Nordeste,AL,2708006
Nordeste,AL,2708204
Nordeste,AL,2708402
Nordeste,AL,2708808
Nordeste,AL,2708956
Nordeste,AL,2709004
Nordeste,AL,2709103
Nordeste,AL,2709202
Nordeste,SE,2800209
Nordeste,SE,2800506
Nordeste,SE,2801009
Nordeste,SE,2801207
Nordeste,SE,2801405
Nordeste,SE,2801900
Nordeste,SE,2802205
Nordeste,SE,2802304
Nordeste,SE,2802403
Nordeste,SE,2802601
Nordeste,SE,2802908
Nordeste,SE,2803104
Nordeste,SE,2803500
Nordeste,SE,2803708
Nordeste,SE,2803807
Nordeste,SE,2803906
Nordeste,SE,2804102
Nordeste,SE,2804201
Nordeste,SE,2804300
Nordeste,SE,2804458
Nordeste,SE,2804508
Nordeste,SE,2804607
Nordeste,SE,2805000
Nordeste,SE,2805208
Nordeste,SE,2805406
Nordeste,SE,2805505
Nordeste,SE,2805604
Nordeste,SE,2805802
Nordeste,SE,2806008
Nordeste,SE,2806800
Nordeste,SE,2807006
Nordeste,SE,2807105
Nordeste,SE,2807402
Nordeste,BA,2901403
Nordeste,BA,2902500
Nordeste,BA,2903201
Nordeste,BA,2904407
Nordeste,BA,2906105
Nordeste,BA,2907400
Nordeste,BA,2908101
Nordeste,BA,2909109
Nordeste,BA,2909307
Nordeste,BA,2909406
Nordeste,BA,2909703
Nordeste,BA,2911105
Nordeste,BA,2917359
Nordeste,BA,2919553
Nordeste,BA,2920452
Nordeste,BA,2926202
Nordeste,BA,2928109
Nordeste,BA,2928208
Nordeste,BA,2928406
Nordeste,BA,2928901
Nordeste,BA,2929057
Nordeste,BA,2930303
Nordeste,BA,2930907
Nordeste,BA,2933455
Sudeste,MG,3100906
Sudeste,MG,3104502
Sudeste,MG,3104700
Sudeste,MG,3106606
Sudeste,MG,3108206
Sudeste,MG,3108552
Sudeste,MG,3109303
Sudeste,MG,3109451
Sudeste,MG,3113701
Sudeste,MG,3115458
